uid,fraud,ftype,risk_score,risk_cat,email_len,email_num_ratio,email_rand,disp_email,phone_score,uniq_dev,max_acc_dev,uniq_addr,max_acc_addr,uniq_pay,max_acc_pay,promo_ratio,reg2txn_min,newuser_voucher,txn_f1m,amt_f1m,avg_amt1m,promo_f1m,voucher_f1m,txn_f2m,amt_f2m,avg_amt2m,promo_f2m,voucher_f2m,txn_f3m,amt_f3m,avg_amt3m,promo_f3m,voucher_f3m,txn_f4m,amt_f4m,avg_amt4m,promo_f4m,voucher_f4m,txn_f5m,amt_f5m,avg_amt5m,promo_f5m,voucher_f5m,txn_f6m,amt_f6m,avg_amt6m,promo_f6m,voucher_f6m,max_acc_ip,login_v1h,login_v2h,login_v3h,login_v4h,login_v5h,login_v6h,login_v12h,login_v18h,login_v24h,ref_cnt,ref_ring,degree,comp_size,cluster,shared_ent,shared_device_count,shared_address_count,shared_payment_count,shared_ip_count
USR03272,False,normal,15,Low,27,0.0,3.006238928653389,False,0.2545454545454545,1,2,1,1,1,1,0.0,1889,0,0,0,0,0,0,1,720000,720000,0,0,1,720000,720000,0,0,1,720000,720000,0,0,1,720000,720000,0,0,1,720000,720000,0,0,89,0,0,0,0,0,0,0,1,2,0,0.0,80,9979,81,80,1,0,0,79
USR03273,False,normal,30,Low,22,0.0,3.2516291673878226,False,0.34545454545454546,1,2,1,1,1,1,1.0,2493,1,0,0,0,0,0,1,5508500,5508500,50000,1,1,5508500,5508500,50000,1,1,5508500,5508500,50000,1,1,5508500,5508500,50000,1,1,5508500,5508500,50000,1,105,5,5,5,5,5,5,5,5,5,0,0.0,112,9979,113,112,1,0,0,111
USR03274,True,shared_address_abuse,30,Low,21,0.0,2.663532754804255,False,0.34545454545454546,1,2,1,5,1,1,0.8,11,2,5,1300500,260100,110000,4,5,1300500,260100,110000,4,5,1300500,260100,110000,4,5,1300500,260100,110000,4,5,1300500,260100,110000,4,5,1300500,260100,110000,4,124,2,2,2,2,2,2,2,2,3,0,0.0,504,9979,505,534,1,4,0,529
USR03275,False,normal,30,Low,18,0.0,3.0,False,0.1545454545454545,1,2,1,1,1,1,0.0,16,0,1,690500,690500,0,0,1,690500,690500,0,0,1,690500,690500,0,0,1,690500,690500,0,0,1,690500,690500,0,0,1,690500,690500,0,0,80,5,5,5,5,5,5,5,5,5,0,0.0,189,9979,190,192,1,0,0,191
USR03276,False,normal,15,Low,23,0.0,2.9689185639620974,False,0.3181818181818182,1,2,1,1,1,1,0.0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2949000,2949000,0,0,1,2949000,2949000,0,0,1,2949000,2949000,0,0,84,0,0,0,0,0,0,1,1,1,0,0.0,79,9979,80,79,1,0,0,78
USR03277,False,normal,30,Low,25,0.0,2.7773627950641693,False,0.2818181818181818,1,2,1,1,1,1,1.0,2126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,422000,422000,50000,1,105,0,0,0,0,0,0,1,1,2,1,0.0,73,9979,74,73,1,0,0,72
USR03278,True,shared_address_abuse,45,Medium,21,0.0,3.459431618637298,False,0.21818181818181817,1,2,1,5,1,1,1.0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1909500,636500,44000,3,92,0,0,0,0,0,0,1,2,2,0,0.0,196,9979,197,196,1,4,0,191
USR03279,False,normal,15,Low,18,0.0,2.75,False,0.12727272727272723,1,2,1,1,1,1,0.3333333333333333,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1920500,960250,10000,1,3,2202500,734166,10000,1,105,0,0,0,0,0,0,2,2,2,1,0.0,106,9979,107,107,1,0,0,106
USR03280,True,shared_device_abuse,30,Low,24,0.0,3.182005814760214,False,0.21818181818181817,1,2,1,1,1,1,0.5714285714285714,12,1,0,0,0,0,0,7,1959000,279857,60000,4,7,1959000,279857,60000,4,7,1959000,279857,60000,4,7,1959000,279857,60000,4,7,1959000,279857,60000,4,52,0,0,0,0,0,0,0,0,11,0,0.0,238,9979,239,241,1,0,0,240
USR03281,True,shared_payment_abuse,15,Low,27,0.0,3.006238928653389,False,0.21818181818181817,1,2,1,1,1,5,0.3333333333333333,1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36000,36000,0,0,3,683000,227666,10000,1,3,683000,227666,10000,1,107,0,0,0,0,0,0,2,4,6,0,0.0,393,9979,394,409,1,0,4,404
USR03282,False,normal,30,Low,18,0.25,2.75,False,0.24000000000000002,1,2,1,1,1,1,1.0,2425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1164000,1164000,50000,1,87,0,0,0,0,0,0,1,1,1,1,0.0,238,9979,239,241,1,0,0,240
USR03283,False,normal,30,Low,19,0.2857142857142857,2.807354922057604,False,0.2545454545454545,1,2,1,1,1,1,1.0,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,780500,780500,50000,1,1,780500,780500,50000,1,108,0,0,0,0,0,0,2,2,2,0,0.0,65,9979,66,65,1,0,0,64
USR03284,False,normal,15,Low,26,0.0,3.378783493486176,False,0.47,1,2,1,1,1,1,0.3333333333333333,1432,1,0,0,0,0,0,0,0,0,0,0,1,2047500,2047500,0,0,3,2390500,796833,50000,1,3,2390500,796833,50000,1,3,2390500,796833,50000,1,97,0,0,0,0,0,0,1,1,1,0,0.0,118,9979,119,118,1,0,0,117
USR03285,True,shared_address_abuse,15,Low,21,0.0,2.9139770731827523,False,0.3090909090909091,1,2,1,5,1,1,0.6,1258,1,5,2930000,586000,80000,3,5,2930000,586000,80000,3,5,2930000,586000,80000,3,5,2930000,586000,80000,3,5,2930000,586000,80000,3,5,2930000,586000,80000,3,97,0,0,0,0,0,0,2,2,5,0,0.0,505,9979,506,518,1,4,0,513
USR03286,False,normal,30,Low,19,0.0,3.169925001442312,False,0.2545454545454545,2,2,1,1,1,1,0.6,11,1,2,5578500,2789250,10000,1,3,7092500,2364166,20000,2,5,8101500,1620300,40000,3,5,8101500,1620300,40000,3,5,8101500,1620300,40000,3,5,8101500,1620300,40000,3,113,0,0,0,0,0,0,2,2,2,0,0.0,72,9979,73,72,2,0,0,70
USR03287,False,normal,15,Low,19,0.2857142857142857,2.807354922057604,False,0.43636363636363634,2,2,1,1,1,1,0.3333333333333333,964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1497500,1497500,0,0,3,1706000,568666,50000,1,3,1706000,568666,50000,1,108,0,0,0,0,0,0,1,1,2,0,0.0,95,9979,96,95,2,0,0,93
USR03288,False,normal,30,Low,23,0.5,2.9219280948873623,True,0.2818181818181818,2,2,1,1,1,1,1.0,1721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614500,614500,50000,1,1,614500,614500,50000,1,1,614500,614500,50000,1,108,0,0,0,0,0,0,1,1,1,0,0.0,86,9979,87,86,2,0,0,84
USR03289,False,normal,30,Low,19,0.0,3.169925001442312,False,0.39999999999999997,1,2,1,1,1,1,1.0,885,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1236500,618250,60000,2,103,0,0,0,0,0,0,1,2,2,1,0.0,188,9979,189,192,1,0,0,191
USR03290,False,normal,30,Low,24,0.45454545454545453,3.2776134368191165,True,0.2818181818181818,1,2,1,1,1,1,1.0,786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1055500,1055500,50000,1,1,1055500,1055500,50000,1,1,1055500,1055500,50000,1,91,0,0,0,0,0,0,0,1,1,0,0.0,146,9979,147,148,1,0,0,147
USR03291,False,normal,30,Low,23,0.0,2.845350936622437,False,0.21818181818181817,2,2,1,1,1,1,1.0,1155,1,0,0,0,0,0,0,0,0,0,0,3,2974500,991500,80000,3,3,2974500,991500,80000,3,3,2974500,991500,80000,3,3,2974500,991500,80000,3,100,0,0,0,0,0,0,0,1,1,0,0.0,74,9979,75,74,2,0,0,72
USR03292,False,normal,45,Medium,17,0.2857142857142857,2.521640636343318,False,0.2818181818181818,1,2,1,1,1,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1441000,1441000,50000,1,1,1441000,1441000,50000,1,94,0,0,0,0,0,1,1,1,1,0,0.0,107,9979,108,108,1,0,0,107
USR03293,True,shared_device_abuse,60,Medium,25,0.0,3.0269868333592873,False,0.2818181818181818,1,3,1,1,1,1,0.8333333333333334,19,0,3,1654500,551500,30000,2,6,1914500,319083,60000,5,6,1914500,319083,60000,5,6,1914500,319083,60000,5,6,1914500,319083,60000,5,6,1914500,319083,60000,5,54,0,0,0,0,6,16,16,16,16,0,0.0,228,9979,229,236,2,0,0,234
USR03294,False,normal,30,Low,17,0.2857142857142857,2.5216406363433186,False,0.2545454545454545,2,2,1,1,1,1,1.0,370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3658000,3658000,50000,1,1,3658000,3658000,50000,1,95,0,0,0,0,0,0,2,2,2,0,0.0,287,9979,288,290,2,0,0,288
USR03295,True,shared_payment_abuse,30,Low,20,0.2,2.9219280948873623,False,0.3090909090909091,1,2,1,1,1,5,0.5,2,0,2,1807500,903750,10000,1,4,3537500,884375,30000,2,4,3537500,884375,30000,2,4,3537500,884375,30000,2,4,3537500,884375,30000,2,4,3537500,884375,30000,2,95,0,0,0,0,0,0,3,3,3,0,0.0,475,9979,476,508,1,0,4,503
USR03296,False,normal,70,High,22,0.0,3.2516291673878226,False,0.2545454545454545,1,2,1,1,1,1,1.0,660,1,1,1600500,1600500,50000,1,1,1600500,1600500,50000,1,1,1600500,1600500,50000,1,1,1600500,1600500,50000,1,1,1600500,1600500,50000,1,1,1600500,1600500,50000,1,98,13,13,13,13,13,13,13,13,13,0,0.0,263,9979,264,265,1,0,0,264
USR03297,False,normal,45,Medium,20,0.25,2.75,False,0.2545454545454545,2,2,1,1,1,1,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5013500,5013500,50000,1,86,0,0,0,0,0,0,1,1,1,1,0.0,113,9979,114,113,2,0,0,111
USR03298,True,shared_device_abuse,60,Medium,19,0.0,2.94770277922009,False,0.2545454545454545,1,4,1,1,1,1,1.0,5,2,0,0,0,0,0,3,1308000,436000,70000,3,3,1308000,436000,70000,3,3,1308000,436000,70000,3,3,1308000,436000,70000,3,3,1308000,436000,70000,3,86,0,0,0,0,0,0,2,3,3,0,0.0,163,9979,164,163,3,0,0,160
USR03299,True,shared_address_abuse,30,Low,22,0.0,2.4591479170272446,False,0.37272727272727274,1,2,1,5,1,1,0.75,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,788500,197125,90000,3,4,788500,197125,90000,3,4,788500,197125,90000,3,97,0,0,0,0,0,0,1,3,3,0,0.0,282,9979,283,288,1,4,0,283
USR03300,False,normal,30,Low,27,0.0,3.32323142879762,False,0.3090909090909091,1,2,1,1,1,1,1.0,2013,1,1,263000,263000,50000,1,1,263000,263000,50000,1,1,263000,263000,50000,1,1,263000,263000,50000,1,1,263000,263000,50000,1,1,263000,263000,50000,1,100,7,7,7,7,7,7,7,7,7,0,0.0,175,9979,176,178,1,0,0,177
USR03301,False,normal,30,Low,20,0.25,2.5,False,0.2818181818181818,2,2,1,1,1,1,1.0,1428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,577500,577500,50000,1,1,577500,577500,50000,1,105,0,0,0,0,0,0,1,2,2,0,0.0,108,9979,109,109,2,0,0,107
USR03302,True,referral_abuse,30,Low,20,0.0,2.9219280948873623,False,0.3181818181818182,1,2,1,1,1,1,0.6,5,0,5,1307000,261400,50000,3,5,1307000,261400,50000,3,5,1307000,261400,50000,3,5,1307000,261400,50000,3,5,1307000,261400,50000,3,5,1307000,261400,50000,3,113,0,0,0,0,3,18,18,18,18,0,0.0,409,9979,410,427,1,0,0,426
USR03303,True,voucher_farming,30,Low,22,0.4444444444444444,3.169925001442312,True,0.2545454545454545,1,2,1,1,1,1,1.0,1951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215000,215000,50000,1,96,0,14,16,16,16,16,16,16,16,0,0.0,393,9979,394,410,1,0,0,409
USR03304,True,shared_payment_abuse,30,Low,26,0.0,2.7272170014624826,False,0.2545454545454545,1,2,1,1,1,5,1.0,2870,1,1,86000,86000,50000,1,1,86000,86000,50000,1,1,86000,86000,50000,1,1,86000,86000,50000,1,1,86000,86000,50000,1,1,86000,86000,50000,1,99,5,5,5,5,5,5,5,5,5,0,0.0,447,9979,448,475,1,0,4,470
USR03305,False,normal,45,Medium,26,0.0,3.039148671903071,False,0.2818181818181818,1,2,1,1,1,1,1.0,2,2,1,1108500,1108500,20000,1,3,2830000,943333,80000,3,3,2830000,943333,80000,3,3,2830000,943333,80000,3,3,2830000,943333,80000,3,3,2830000,943333,80000,3,92,0,0,0,0,0,0,0,1,2,0,0.0,115,9979,116,115,1,0,0,114
USR03306,False,normal,15,Low,18,0.25,2.4056390622295662,False,0.3090909090909091,1,2,1,1,1,1,0.5,2124,1,0,0,0,0,0,1,585500,585500,0,0,4,3548500,887125,40000,2,4,3548500,887125,40000,2,4,3548500,887125,40000,2,4,3548500,887125,40000,2,105,0,0,0,0,0,0,1,1,2,0,0.0,127,9979,128,129,1,0,0,128
USR03307,False,normal,15,Low,18,0.25,3.0,False,0.1909090909090909,1,2,1,1,1,1,0.0,216,0,0,0,0,0,0,1,2467500,2467500,0,0,1,2467500,2467500,0,0,1,2467500,2467500,0,0,1,2467500,2467500,0,0,1,2467500,2467500,0,0,105,2,2,2,2,2,2,2,2,2,0,0.0,82,9979,83,82,1,0,0,81
USR03308,True,shared_address_abuse,30,Low,18,0.25,2.75,False,0.37272727272727274,1,2,1,5,1,1,0.5,28,1,0,0,0,0,0,0,0,0,0,0,2,1015500,507750,50000,1,2,1015500,507750,50000,1,2,1015500,507750,50000,1,2,1015500,507750,50000,1,108,0,0,0,0,0,0,1,2,3,0,0.0,288,9979,289,299,1,4,0,294
USR03309,False,normal,15,Low,24,0.0,3.0220552088742,False,0.3090909090909091,2,2,1,1,1,1,0.5,926,1,2,483000,241500,10000,1,2,483000,241500,10000,1,2,483000,241500,10000,1,2,483000,241500,10000,1,2,483000,241500,10000,1,2,483000,241500,10000,1,96,10,10,10,10,10,10,10,10,10,0,0.0,260,9979,261,260,2,0,0,258
USR03310,False,normal,30,Low,21,0.5555555555555556,3.169925001442312,True,0.2818181818181818,2,2,1,1,1,1,1.0,1881,1,4,4436500,1109125,60000,4,5,4939500,987900,110000,5,5,4939500,987900,110000,5,5,4939500,987900,110000,5,5,4939500,987900,110000,5,5,4939500,987900,110000,5,110,1,1,1,1,1,1,1,1,2,0,0.0,37,9979,38,37,2,0,0,35
USR03311,True,shared_device_abuse,30,Low,19,0.0,2.94770277922009,False,0.2545454545454545,1,5,1,1,1,1,0.6,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,836500,418250,10000,1,5,5581000,1116200,70000,3,94,0,0,0,0,0,0,1,3,3,0,0.0,264,9979,265,271,4,0,0,267
USR03312,False,normal,30,Low,27,0.0,3.139572261986723,False,0.1909090909090909,1,2,1,1,1,1,1.0,987,1,0,0,0,0,0,0,0,0,0,0,1,252500,252500,50000,1,1,252500,252500,50000,1,1,252500,252500,50000,1,1,252500,252500,50000,1,103,0,0,0,0,0,0,1,2,2,0,0.0,204,9979,205,208,1,0,0,207
USR03313,True,shared_device_abuse,45,Medium,23,0.0,2.8731406795131336,False,0.21818181818181817,1,3,1,1,1,1,1.0,1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3906000,1302000,90000,3,86,0,0,0,0,1,17,17,17,17,0,0.0,269,9979,270,277,2,0,0,275
USR03314,False,normal,15,Low,16,0.3333333333333333,2.584962500721156,False,0.39999999999999997,1,2,1,1,1,1,0.8,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59000,59000,20000,1,5,1839500,367900,90000,4,5,1839500,367900,90000,4,102,0,0,0,0,0,0,1,1,1,0,0.0,176,9979,177,179,1,0,0,178
USR03315,False,normal,45,Medium,18,0.0,2.5,False,0.21818181818181817,1,2,1,1,1,1,1.0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,243000,243000,50000,1,93,0,0,0,0,0,0,1,1,1,1,0.0,182,9979,183,186,1,0,0,185
USR03316,False,normal,15,Low,24,0.4166666666666667,3.0220552088742005,True,0.21818181818181817,2,2,1,1,1,1,0.75,847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,767500,255833,30000,2,4,1253500,313375,80000,3,4,1253500,313375,80000,3,107,0,0,0,0,0,0,2,2,2,0,0.0,242,9979,243,248,2,0,0,246
USR03317,False,normal,15,Low,22,0.0,3.121928094887362,False,0.2818181818181818,1,2,1,1,1,1,0.8,2161,1,0,0,0,0,0,2,1532000,766000,30000,2,5,8076000,1615200,50000,4,5,8076000,1615200,50000,4,5,8076000,1615200,50000,4,5,8076000,1615200,50000,4,92,0,0,0,0,0,0,1,1,1,0,0.0,127,9979,128,127,1,0,0,126
USR03318,True,referral_abuse,15,Low,24,0.0,2.8962915290459286,False,0.34545454545454546,1,2,1,1,1,1,0.0,1939,0,1,163000,163000,0,0,2,194500,97250,0,0,2,194500,97250,0,0,2,194500,97250,0,0,2,194500,97250,0,0,2,194500,97250,0,0,94,0,0,0,0,0,0,1,3,4,0,0.0,255,9979,256,258,1,0,0,257
USR03319,False,normal,30,Low,19,0.0,2.807354922057604,False,0.2818181818181818,1,2,1,1,1,1,1.0,1035,1,0,0,0,0,0,0,0,0,0,0,1,155500,155500,50000,1,1,155500,155500,50000,1,1,155500,155500,50000,1,1,155500,155500,50000,1,91,0,0,0,0,0,0,1,2,2,0,0.0,122,9979,123,122,1,0,0,121
USR03320,True,shared_address_abuse,30,Low,23,0.0,2.9139770731827523,False,0.1545454545454545,1,2,1,5,1,1,1.0,585,1,0,0,0,0,0,4,898500,224625,90000,4,4,898500,224625,90000,4,4,898500,224625,90000,4,4,898500,224625,90000,4,4,898500,224625,90000,4,89,0,0,0,0,0,0,0,0,22,0,0.0,581,9979,582,611,1,4,0,606
USR03321,False,normal,30,Low,18,0.0,2.75,False,0.2818181818181818,1,2,1,1,1,1,1.0,478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18500,18500,18500,1,110,0,0,0,0,0,0,1,2,2,1,0.0,152,9979,153,153,1,0,0,152
USR03322,False,normal,15,Low,23,0.0,3.0957952550009344,False,0.12727272727272723,2,2,1,1,1,1,0.0,45,0,0,0,0,0,0,1,27500,27500,0,0,1,27500,27500,0,0,1,27500,27500,0,0,1,27500,27500,0,0,1,27500,27500,0,0,102,3,3,3,3,3,3,3,3,3,0,0.0,158,9979,159,160,2,0,0,158
USR03323,False,normal,15,Low,25,0.0,3.085055102756477,False,0.37272727272727274,1,2,1,1,1,1,0.0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98500,98500,0,0,1,98500,98500,0,0,1,98500,98500,0,0,110,0,0,0,0,0,0,1,1,2,0,0.0,303,9979,304,312,1,0,0,311
USR03324,False,normal,15,Low,20,0.0,2.9219280948873623,False,0.2545454545454545,1,2,1,1,1,1,0.0,1040,0,0,0,0,0,0,1,367000,367000,0,0,1,367000,367000,0,0,1,367000,367000,0,0,1,367000,367000,0,0,1,367000,367000,0,0,93,0,0,0,0,0,0,1,1,1,0,0.0,92,9979,93,93,1,0,0,92
USR03325,False,normal,15,Low,22,0.0,2.9219280948873623,False,0.2545454545454545,1,2,1,1,1,1,0.8,1931,2,1,2131000,2131000,10000,1,2,2327000,1163500,30000,2,5,5412000,1082400,90000,4,5,5412000,1082400,90000,4,5,5412000,1082400,90000,4,5,5412000,1082400,90000,4,108,0,0,0,0,0,0,1,1,1,0,0.0,312,9979,313,320,1,0,0,319
USR03326,False,normal,45,Medium,20,0.0,2.8464393446710154,False,0.2818181818181818,1,2,1,1,1,1,1.0,26,1,1,1548000,1548000,50000,1,1,1548000,1548000,50000,1,1,1548000,1548000,50000,1,1,1548000,1548000,50000,1,1,1548000,1548000,50000,1,1,1548000,1548000,50000,1,102,0,0,0,0,0,0,0,0,1,0,0.0,68,9979,69,68,1,0,0,67
USR03327,False,normal,30,Low,19,0.2857142857142857,2.807354922057604,False,0.34545454545454546,1,2,1,1,1,1,1.0,1834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,205000,102500,34500,2,100,0,0,0,0,0,0,1,1,2,1,0.0,342,9979,343,351,1,0,0,350
USR03328,False,normal,15,Low,23,0.0,3.180832987205441,False,0.34545454545454546,2,2,1,1,1,1,0.0,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,282000,282000,0,0,91,0,0,0,0,0,0,1,1,1,1,0.0,137,9979,138,139,2,0,0,137
USR03329,False,normal,30,Low,24,0.0,2.4182958340544896,False,0.34545454545454546,2,2,1,1,1,1,1.0,1776,1,0,0,0,0,0,1,732000,732000,50000,1,1,732000,732000,50000,1,1,732000,732000,50000,1,1,732000,732000,50000,1,1,732000,732000,50000,1,100,6,6,6,6,6,6,6,6,6,0,0.0,234,9979,235,235,2,0,0,233
USR03330,False,normal,30,Low,18,0.0,2.75,False,0.2545454545454545,2,2,1,1,1,1,0.0,7,0,1,816500,816500,0,0,1,816500,816500,0,0,1,816500,816500,0,0,1,816500,816500,0,0,1,816500,816500,0,0,1,816500,816500,0,0,91,5,5,5,5,5,5,5,5,5,0,0.0,107,9979,108,107,2,0,0,105
USR03331,False,normal,30,Low,20,0.5,2.7219280948873625,False,0.2818181818181818,2,2,1,1,1,1,1.0,1091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,819500,819500,50000,1,1,819500,819500,50000,1,91,0,0,0,0,0,0,0,1,1,0,0.0,78,9979,79,79,2,0,0,77
USR03332,False,normal,15,Low,23,0.0,3.238901256602631,False,0.3181818181818182,1,2,1,1,1,1,0.5,967,0,0,0,0,0,0,1,269500,269500,20000,1,4,2094000,523500,30000,2,4,2094000,523500,30000,2,4,2094000,523500,30000,2,4,2094000,523500,30000,2,40,0,0,0,0,0,0,1,1,1,0,0.0,76,9979,77,76,1,0,0,75
USR03333,True,shared_payment_abuse,30,Low,25,0.0,3.085055102756477,False,0.33999999999999997,1,2,1,1,1,5,0.625,1,2,8,3806000,475750,60000,5,8,3806000,475750,60000,5,8,3806000,475750,60000,5,8,3806000,475750,60000,5,8,3806000,475750,60000,5,8,3806000,475750,60000,5,100,0,0,0,0,0,0,1,2,3,0,0.0,242,9979,243,247,1,0,4,242
USR03334,True,shared_address_abuse,15,Low,18,0.25,3.0,False,0.37272727272727274,1,2,1,5,1,1,0.625,837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2631000,328875,110000,5,103,0,0,0,0,0,0,1,3,4,0,0.0,652,9979,653,678,1,4,0,673
USR03335,False,normal,15,Low,25,0.0,3.238901256602631,False,0.3181818181818182,1,2,1,1,1,1,0.5,1433,1,2,910500,455250,50000,1,2,910500,455250,50000,1,2,910500,455250,50000,1,2,910500,455250,50000,1,2,910500,455250,50000,1,2,910500,455250,50000,1,97,9,9,9,9,9,9,9,9,9,0,0.0,141,9979,142,145,1,0,0,144
USR03336,True,voucher_farming,40,Medium,23,0.0,2.5654483718208256,False,0.21818181818181817,1,2,1,1,1,1,0.8333333333333334,1519,5,0,0,0,0,0,6,4217500,702916,250000,5,6,4217500,702916,250000,5,6,4217500,702916,250000,5,6,4217500,702916,250000,5,6,4217500,702916,250000,5,42,0,0,0,0,0,0,0,1,1,0,0.0,139,9979,140,140,1,0,0,139
USR03337,False,normal,30,Low,22,0.0,2.292481250360578,False,0.39999999999999997,1,2,1,1,1,1,1.0,2085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1383000,1383000,50000,1,1,1383000,1383000,50000,1,110,0,0,0,0,0,0,0,1,1,0,0.0,209,9979,210,211,1,0,0,210
USR03338,False,normal,15,Low,19,0.0,2.2810361125534238,False,0.2818181818181818,1,2,1,1,1,1,0.0,431,0,0,0,0,0,0,0,0,0,0,0,1,427000,427000,0,0,1,427000,427000,0,0,1,427000,427000,0,0,1,427000,427000,0,0,106,0,0,0,0,0,0,1,2,2,0,0.0,95,9979,96,96,1,0,0,95
USR03339,False,normal,30,Low,24,0.0,3.3248629576173574,False,0.49090909090909085,1,2,1,1,1,1,1.0,689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1082000,1082000,50000,1,80,0,0,0,0,0,0,1,2,2,1,0.0,88,9979,89,88,1,0,0,87
USR03340,False,normal,45,Medium,26,0.45454545454545453,2.9139770731827523,True,0.3090909090909091,2,2,1,1,1,1,1.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,675000,675000,50000,1,1,675000,675000,50000,1,100,0,0,0,0,0,0,2,2,2,0,0.0,112,9979,113,113,2,0,0,111
USR03341,True,shared_payment_abuse,30,Low,23,0.0,2.7321588913645702,False,0.40909090909090906,1,2,1,1,1,5,0.4,22,1,2,1000500,500250,20000,1,5,1993000,398600,70000,2,5,1993000,398600,70000,2,5,1993000,398600,70000,2,5,1993000,398600,70000,2,5,1993000,398600,70000,2,94,1,1,1,1,2,3,3,3,3,0,0.0,164,9979,165,164,1,0,4,159
USR03342,True,shared_device_abuse,70,High,26,0.0,3.125,False,0.1909090909090909,1,5,1,1,1,1,1.0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3890000,778000,110000,5,5,3890000,778000,110000,5,5,3890000,778000,110000,5,124,0,0,0,0,0,0,0,0,4,0,0.0,48,9979,49,48,4,0,0,44
USR03343,False,normal,30,Low,23,0.0,2.9689185639620974,False,0.34545454545454546,1,2,1,1,1,1,1.0,2349,1,0,0,0,0,0,0,0,0,0,0,1,805500,805500,50000,1,1,805500,805500,50000,1,1,805500,805500,50000,1,1,805500,805500,50000,1,91,0,0,0,0,0,0,1,1,1,0,0.0,269,9979,270,272,1,0,0,271
USR03344,False,normal,15,Low,26,0.45454545454545453,2.8453509366224368,True,0.54,1,2,1,1,1,1,0.0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,377000,377000,0,0,1,377000,377000,0,0,1,377000,377000,0,0,98,0,0,0,0,0,0,1,1,1,0,0.0,176,9979,177,180,1,0,0,179
USR03345,True,referral_abuse,15,Low,23,0.0,2.873140679513133,False,0.37272727272727274,1,2,1,1,1,1,0.4,1223,1,5,868500,173700,60000,2,5,868500,173700,60000,2,5,868500,173700,60000,2,5,868500,173700,60000,2,5,868500,173700,60000,2,5,868500,173700,60000,2,50,0,0,0,0,0,0,2,2,2,0,0.0,166,9979,167,171,1,0,0,170
USR03346,False,normal,15,Low,17,0.2857142857142857,2.807354922057604,False,0.2818181818181818,1,2,1,1,1,1,0.0,50,0,0,0,0,0,0,1,1758000,1758000,0,0,1,1758000,1758000,0,0,1,1758000,1758000,0,0,1,1758000,1758000,0,0,1,1758000,1758000,0,0,109,0,0,0,0,0,0,1,2,2,0,0.0,158,9979,159,163,1,0,0,162
